Voyage_ID,Vessel_name,Voyage_itinerary_place,Voyage_itinerary_purchase,Voyage_itinerary_disembarkation,Year_of_arrival,Slaves_arrived_at_1st_port,Captains_name
90568,Liberty,Liverpool,Whydah,Kingston,1756,258,"Strangeways, James"
90569,African,Liverpool,"Gold Coast, port unspecified",Kingston,1756,294,"Swindall, James"
90570,Swallow,Liverpool,"Windward Coast, port unspecified",Kingston,1755,103,"McAnslane, Patrick"
90571,Swallow,Liverpool,"Windward Coast, port unspecified",,1757,,"McAnslane, Patrick"
90572,Prospect,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1755,26,"Grayson, Robert"
90573,Prospect,Liverpool,Sherbro,"Barbados, port unspecified",1757,110,"Grayson, Robert"
90574,Prospect,Liverpool,Sherbro,"Maryland, port unspecified",1758,,"Grayson, Robert"
90575,Prospect,Liverpool,Iles Plantain,"Barbados, port unspecified",1759,91,"Howell, Henry"
90576,Daresbury,,"Africa., port unspecified","St. Kitts, port unspecified",1755,,"Harding, Ralph<br/> Nunns, Nicholas"
90577,Lyme,Liverpool,Calabar,Kingston,1755,400,"Holland, Nehemiah"
90578,Lyme,Liverpool,Calabar,"Barbados, port unspecified",1757,438,"Farrar, John<br/> Holland, Nehemiah"
90579,Lyme,Liverpool,Calabar,Basse-Terre,1759,,"Hoggan, John"
90580,Lyme,Liverpool,Calabar,,1760,,"Hoggan, John"
90581,Duke of Cumberland,Liverpool,Bonny,Kingston,1755,290,"Nunes, John"
90582,Duke of Cumberland,Liverpool,Bonny,"Barbados, port unspecified",1757,364,"Nunes, John"
90583,Duke of Cumberland,Liverpool,Bonny,"Barbados, port unspecified",1759,357,"Elworthy, John<br/> Grayson"
90584,Duke of Cumberland,Liverpool,Bonny,Saint John (Antigua),1760,392,"Elworthy, John"
90585,Duke of Cumberland,Liverpool,Bonny,Kingston,1762,321,"Elworthy, John"
90586,William,Liverpool,Bonny,Kingston,1757,277,"Welch, John<br/> Willocks, Blackburn"
90587,William,Liverpool,New Calabar,"Barbados, port unspecified",1758,172,"Wilcock, Blackburn (a) Willocks"
90588,Lyon,Liverpool,Gambia,"Jamaica, port unspecified",1756,,"Gother, Anthony"
90589,Bower,Liverpool,"Windward Coast, port unspecified",Kingston,1755,145,"Nobler, William"
90590,Young Foster,Liverpool,"Windward Coast, port unspecified",Kingston,1756,211,"Hayston, Henry"
90591,Young Foster,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1758,271,"Hayston, Henry"
90592,Young Foster,Liverpool,Anomabu,"Jamaica, port unspecified",1759,,"Hayston, Henry"
90593,Young Foster,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1761,127,"Hayston, Henry"
90594,King George,Liverpool,Bonny,Kingston,1756,340,"Jackson, Richard"
90595,King George,Liverpool,"West Central Africa and St. Helena, port unspecified",,1756,,"Jackson, Richard"
90596,Molly,Liverpool,"West Central Africa and St. Helena, port unspecified","Americas, port unspecified",1755,,"Torbett, William"
90597,Nicholas,Liverpool,"Windward Coast, port unspecified",Kingston,1756,209,"Jennings, Robert"
90598,Hopewell,Liverpool,Bonny,"Barbados, port unspecified",1756,267,"Linecar, Samuel"
90599,Ryder,Liverpool,Gambia,"Barbados, port unspecified",1756,250,"Sachaverell, John"
90600,Ryder,Liverpool,Gambia,"Barbados, port unspecified",1740,,"Joynson, Richard<br/> Ash, Christopher"
90601,Ryder,Liverpool,Gambia,Kingston,1744,240,"Carrey, Ellis"
90603,Ryder,Liverpool,Gabon,"British Caribbean, colony unspecified",1752,,"Rush, Michael<br/> Benn"
90604,Ryder,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1755,200,"Sachaverell, John"
90605,Quester,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1755,,"Perkin, Edmund"
90606,Dolly,Liverpool,Gambia,"Barbados, port unspecified",1756,104,"Jordan, Thomas"
90607,Willy,Liverpool,Gambia,"Montserrat, port unspecified",1756,,"Whiteside, John"
90608,Charming Betty,Liverpool,"Gold Coast, port unspecified",Basse-Terre,1759,,"Colley, George"
90609,Royal Family,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1756,31,"Fowler, Thomas<br/> Shepherd, Wilson"
90612,Royal Family,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1758,133,"Shepherd, Wilson"
90613,Polly,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1756,390,"Clemens, James"
90614,Thomas,Liverpool,Gambia,"Montserrat, port unspecified",1756,,"Hayes, Daniel"
90615,Prince Tom,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1756,255,"Cooke, Charles"
90616,John,Liverpool,"Windward Coast, port unspecified","Montserrat, port unspecified",1760,250,"Boulton, Nicholas"
90617,John,Liverpool,Iles de Los,Basse-Terre,1761,222,"Boulton, Nicholas"
90618,Little Dicky,Liverpool,Gambia,,1756,,"Miller, George"
90619,Phoebe,Liverpool,Gambia,"St. Kitts, port unspecified",1756,,"Bennett, James<br/> Giball, John"
